dataset,id,rel_kind,n,n_bound,pct_bound
kaiser,eHome2020,directed,7,4,57.14
kaiser,eHome2020,inheritance,2,2,100.0
kaiser,eHome2020,composition,1,1,100.0
kaiser,eHome2020,aggregation,0,0,0.0
kaiser,eHome2020,dependency,0,0,0.0
kaiser,eHome2020,association_class,0,0,0.0
reference,LabTracker,association,8,7,87.5
reference,LabTracker,directed,0,0,0.0
reference,LabTracker,inheritance,2,0,0.0
reference,LabTracker,composition,10,8,80.0
reference,LabTracker,aggregation,0,0,0.0
reference,LabTracker,dependency,0,0,0.0
reference,LabTracker,association_class,0,0,0.0
reference,CelO,association,9,7,77.78
reference,CelO,directed,0,0,0.0
reference,CelO,inheritance,2,0,0.0
reference,CelO,composition,8,0,0.0
reference,CelO,aggregation,0,0,0.0
reference,CelO,dependency,0,0,0.0
reference,CelO,association_class,0,0,0.0
reference,TSS,association,5,5,100.0
reference,TSS,directed,0,0,0.0
reference,TSS,inheritance,4,0,0.0
reference,TSS,composition,11,6,54.55
reference,TSS,aggregation,0,0,0.0
reference,TSS,dependency,0,0,0.0
reference,TSS,association_class,0,0,0.0
reference,SHAS,association,18,16,88.89
reference,SHAS,directed,0,0,0.0
reference,SHAS,inheritance,5,4,80.0
reference,SHAS,composition,0,0,0.0
reference,SHAS,aggregation,0,0,0.0
reference,SHAS,dependency,0,0,0.0
reference,SHAS,association_class,0,0,0.0
reference,OTS,association,12,8,66.67
reference,OTS,directed,0,0,0.0
reference,OTS,inheritance,6,6,100.0
reference,OTS,composition,0,0,0.0
reference,OTS,aggregation,0,0,0.0
reference,OTS,dependency,0,0,0.0
reference,OTS,association_class,0,0,0.0
reference,Block,association,12,11,91.67
reference,Block,directed,0,0,0.0
reference,Block,inheritance,0,0,0.0
reference,Block,composition,17,12,70.59
reference,Block,aggregation,0,0,0.0
reference,Block,dependency,0,0,0.0
reference,Block,association_class,0,0,0.0
reference,TileO,association,6,6,100.0
reference,TileO,directed,0,0,0.0
reference,TileO,inheritance,8,8,100.0
reference,TileO,composition,6,3,50.0
reference,TileO,aggregation,0,0,0.0
reference,TileO,dependency,0,0,0.0
reference,TileO,association_class,0,0,0.0
reference,HBMS,association,17,17,100.0
reference,HBMS,directed,0,0,0.0
reference,HBMS,inheritance,7,4,57.14
reference,HBMS,composition,0,0,0.0
reference,HBMS,aggregation,0,0,0.0
reference,HBMS,dependency,0,0,0.0
reference,HBMS,association_class,0,0,0.0
data_source_3,AirTravel,association,11,8,72.73
data_source_3,AirTravel,directed,0,0,0.0
data_source_3,AirTravel,inheritance,3,0,0.0
data_source_3,AirTravel,composition,1,1,100.0
data_source_3,AirTravel,aggregation,1,0,0.0
data_source_3,AirTravel,dependency,0,0,0.0
data_source_3,AirTravel,association_class,0,0,0.0
data_source_3,AlphaInsurance,association,9,8,88.89
data_source_3,AlphaInsurance,directed,0,0,0.0
data_source_3,AlphaInsurance,inheritance,0,0,0.0
data_source_3,AlphaInsurance,composition,0,0,0.0
data_source_3,AlphaInsurance,aggregation,0,0,0.0
data_source_3,AlphaInsurance,dependency,0,0,0.0
data_source_3,AlphaInsurance,association_class,1,1,100.0
data_source_3,BankAccount,association,1,1,100.0
data_source_3,BankAccount,directed,1,1,100.0
data_source_3,BankAccount,inheritance,2,2,100.0
data_source_3,BankAccount,composition,0,0,0.0
data_source_3,BankAccount,aggregation,1,1,100.0
data_source_3,BankAccount,dependency,0,0,0.0
data_source_3,BankAccount,association_class,0,0,0.0
data_source_3,Boeing,association,6,6,100.0
data_source_3,Boeing,directed,0,0,0.0
data_source_3,Boeing,inheritance,0,0,0.0
data_source_3,Boeing,composition,0,0,0.0
data_source_3,Boeing,aggregation,0,0,0.0
data_source_3,Boeing,dependency,0,0,0.0
data_source_3,Boeing,association_class,0,0,0.0
data_source_3,BuildingManagement,association,0,0,0.0
data_source_3,BuildingManagement,directed,7,6,85.71
data_source_3,BuildingManagement,inheritance,3,3,100.0
data_source_3,BuildingManagement,composition,1,1,100.0
data_source_3,BuildingManagement,aggregation,0,0,0.0
data_source_3,BuildingManagement,dependency,0,0,0.0
data_source_3,BuildingManagement,association_class,0,0,0.0
data_source_3,BusTransportationManagementSystem,association,4,4,100.0
data_source_3,BusTransportationManagementSystem,directed,0,0,0.0
data_source_3,BusTransportationManagementSystem,inheritance,0,0,0.0
data_source_3,BusTransportationManagementSystem,composition,0,0,0.0
data_source_3,BusTransportationManagementSystem,aggregation,0,0,0.0
data_source_3,BusTransportationManagementSystem,dependency,0,0,0.0
data_source_3,BusTransportationManagementSystem,association_class,0,0,0.0
data_source_3,CardGameApp,association,0,0,0.0
data_source_3,CardGameApp,directed,10,7,70.0
data_source_3,CardGameApp,inheritance,3,3,100.0
data_source_3,CardGameApp,composition,0,0,0.0
data_source_3,CardGameApp,aggregation,0,0,0.0
data_source_3,CardGameApp,dependency,0,0,0.0
data_source_3,CardGameApp,association_class,0,0,0.0
